label,prompt,n_positive,auc,ci_lower,ci_upper
Atelectasis,basilar atelectasis,3279,0.7058132039404547,0.6961797117872527,0.7146819686465032
Cardiomegaly,enlarged cardiac silhouette,1069,0.8538420441411944,0.8425808390152102,0.8644686292421355
Effusion,pleural effusion,4658,0.7958052287599928,0.7890564118266421,0.8021438113732834
Infiltration,infiltrate,6112,0.6884200057827016,0.6816602043699221,0.6961921649531518
Mass,Mass,1748,0.6618627667254934,0.6491712819246283,0.6747373375461825
Nodule,a chest x-ray with a nodule,1623,0.6166751211872445,0.6032575101099157,0.6320175681929481
Pneumonia,a chest x-ray with pneumonia,555,0.6606254391446676,0.639514728128603,0.6821829506336365
Pneumothorax,Pneumothorax,2665,0.7128129391846311,0.7037415817728199,0.7224521685102259
Consolidation,dense opacity,1815,0.7029496080105618,0.6920231349861021,0.7138685910708269
Edema,Edema,925,0.8116937601538956,0.7994482067752904,0.824076453566747
Emphysema,emphysematous changes,1093,0.5427466562247415,0.5284589279123549,0.5577128262022197
Fibrosis,reticular interstitial opacities,435,0.5764955525496265,0.5489989078155679,0.6036621621104569
Pleural_Thickening,pleural thickening,1143,0.6905614352084859,0.6738532333088206,0.7054726116890079
Hernia,hiatal hernia,86,0.6362527690919202,0.572210946235119,0.6961465680654976
